,Most Recent Health Inspection More Than 2 Years Ago,Overall Rating,Health Inspection Rating,Staffing Rating,RN Staffing Rating,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Amount of Fines in Dollars,Number of Payment Denials,Total Number of Penalties,performance_id
6543,False,3.0,2.0,5.0,5.0,89.833,0,13,1,$22100.00,1,2,6047
6544,False,2.0,1.0,5.0,5.0,120.5,4,3,2,$48393.00,0,2,6048
6547,False,4.0,4.0,4.0,4.0,14.0,0,0,1,$5200.00,0,1,6049
6548,False,1.0,1.0,3.0,3.0,146.333,1,0,0,$0.00,0,0,6050
6549,False,4.0,4.0,3.0,2.0,18.667,0,0,0,$0.00,0,0,6051
6550,False,5.0,5.0,3.0,2.0,12.0,1,0,0,$0.00,0,0,6052
6551,False,5.0,5.0,3.0,5.0,16.667,0,0,0,$0.00,0,0,6053
6553,False,2.0,1.0,4.0,4.0,123.167,7,13,2,$7963.00,1,3,6054
6554,False,2.0,2.0,4.0,3.0,30.0,1,1,0,$0.00,0,0,6055
6556,False,3.0,2.0,5.0,5.0,34.667,0,2,0,$0.00,0,0,6056
6557,False,2.0,2.0,4.0,5.0,31.333,0,0,0,$0.00,0,0,6057
6558,False,5.0,5.0,5.0,5.0,9.333,0,1,0,$0.00,0,0,6058
6559,False,3.0,3.0,5.0,5.0,62.0,2,10,0,$0.00,0,0,6059
6560,False,5.0,4.0,,,12.0,0,0,0,$0.00,0,0,6060
6561,False,1.0,1.0,1.0,1.0,126.833,7,11,1,$1170.00,0,1,6061
6562,False,1.0,1.0,3.0,3.0,155.0,10,30,2,$12805.00,1,3,6062
6563,False,1.0,2.0,1.0,2.0,37.333,0,1,0,$0.00,0,0,6063
6564,False,5.0,5.0,4.0,4.0,6.0,0,0,0,$0.00,0,0,6064
6565,False,5.0,4.0,3.0,4.0,20.667,1,0,0,$0.00,0,0,6065
6566,False,5.0,5.0,4.0,5.0,18.667,0,2,0,$0.00,0,0,6066
6567,False,2.0,2.0,1.0,1.0,94.0,4,8,1,$11700.00,0,1,6067
6568,False,4.0,3.0,5.0,5.0,58.0,0,2,0,$0.00,0,0,6068
6569,False,1.0,1.0,2.0,2.0,125.0,4,32,0,$0.00,0,0,6069
6570,False,5.0,5.0,4.0,3.0,19.333,0,0,0,$0.00,0,0,6070
6571,False,4.0,3.0,5.0,5.0,22.667,0,0,4,$4160.00,0,4,6071
6572,False,3.0,2.0,5.0,5.0,89.5,4,0,1,$3218.00,0,1,6072
6573,False,4.0,3.0,4.0,5.0,52.667,7,1,0,$0.00,0,0,6073
6574,False,2.0,1.0,4.0,4.0,175.667,2,3,0,$0.00,1,1,6074
6575,False,1.0,2.0,3.0,3.0,44.667,1,1,0,$0.00,0,0,6075
6576,False,1.0,1.0,3.0,3.0,97.333,14,17,0,$0.00,0,0,6076
6577,False,4.0,3.0,5.0,5.0,42.0,4,0,0,$0.00,0,0,6077
6578,False,5.0,5.0,3.0,2.0,18.0,5,14,0,$0.00,0,0,6078
6579,False,3.0,2.0,4.0,4.0,31.333,0,1,0,$0.00,0,0,6079
6580,False,1.0,1.0,5.0,5.0,124.333,10,6,4,$16154.00,2,6,6080
6581,False,1.0,1.0,2.0,3.0,130.833,4,14,2,$16023.00,1,3,6081
6582,False,1.0,1.0,2.0,3.0,97.333,12,40,0,$0.00,0,0,6082
6583,False,3.0,2.0,5.0,5.0,70.333,5,4,0,$0.00,0,0,6083
6584,False,5.0,5.0,4.0,4.0,20.0,0,1,0,$0.00,0,0,6084
6585,False,2.0,2.0,3.0,3.0,78.0,2,0,0,$0.00,0,0,6085
6586,False,4.0,4.0,2.0,3.0,36.667,1,7,0,$0.00,0,0,6086
6587,False,4.0,3.0,3.0,4.0,59.333,4,6,1,$6500.00,0,1,6087
6588,False,2.0,2.0,3.0,2.0,77.667,3,9,0,$0.00,0,0,6088
6589,False,4.0,3.0,4.0,4.0,47.333,6,11,1,$1593.00,0,1,6089
6590,False,3.0,3.0,3.0,2.0,50.667,1,3,0,$0.00,0,0,6090
6591,False,2.0,1.0,3.0,5.0,111.833,0,8,0,$0.00,0,0,6091
6592,False,4.0,4.0,4.0,4.0,31.333,1,1,0,$0.00,0,0,6092
6593,False,2.0,1.0,4.0,3.0,118.333,6,23,0,$0.00,1,1,6093
6594,False,2.0,2.0,3.0,3.0,73.333,0,12,0,$0.00,0,0,6094
6595,False,3.0,4.0,2.0,2.0,30.667,3,6,0,$0.00,0,0,6095
6596,False,2.0,1.0,4.0,4.0,126.667,8,47,1,$11993.00,0,1,6096
6597,False,3.0,2.0,4.0,4.0,74.333,7,9,2,$19760.00,0,2,6097
6598,False,2.0,2.0,3.0,2.0,66.0,8,12,0,$0.00,0,0,6098
6599,False,1.0,1.0,3.0,4.0,100.667,8,37,0,$0.00,2,2,6099
6600,False,1.0,1.0,3.0,3.0,134.167,3,32,0,$0.00,0,0,6100
6601,False,2.0,3.0,2.0,2.0,43.333,1,5,0,$0.00,0,0,6101
6602,False,2.0,3.0,1.0,1.0,54.667,0,11,0,$0.00,0,0,6102
6603,False,1.0,1.0,3.0,4.0,119.333,7,21,2,$44591.00,0,2,6103
6604,False,1.0,1.0,1.0,1.0,163.667,12,16,1,$13500.00,0,1,6104
6605,False,1.0,1.0,3.0,3.0,132.667,9,34,1,$7410.00,1,2,6105
6606,False,1.0,1.0,3.0,4.0,146.833,4,17,0,$0.00,0,0,6106
6607,False,3.0,2.0,4.0,4.0,86.167,6,17,2,$16185.00,0,2,6107
6608,False,3.0,2.0,3.0,3.0,71.333,1,6,0,$0.00,0,0,6108
6609,False,5.0,3.0,4.0,4.0,44.0,2,3,0,$0.00,1,1,6109
6610,False,4.0,4.0,4.0,4.0,41.333,6,4,0,$0.00,0,0,6110
6611,False,4.0,4.0,2.0,4.0,29.333,0,2,0,$0.00,0,0,6111
6612,False,5.0,4.0,2.0,4.0,33.333,0,0,0,$0.00,0,0,6112
6613,False,4.0,4.0,4.0,4.0,34.667,3,13,0,$0.00,0,0,6113
6614,False,4.0,4.0,3.0,3.0,31.333,3,0,0,$0.00,0,0,6114
6615,False,4.0,4.0,3.0,3.0,24.0,3,0,0,$0.00,0,0,6115
6616,False,2.0,2.0,3.0,2.0,83.333,2,11,2,$9003.00,0,2,6116
6617,False,5.0,4.0,4.0,3.0,24.0,1,6,0,$0.00,0,0,6117
6618,False,4.0,3.0,4.0,4.0,63.833,8,4,5,$8580.00,0,5,6118
6619,False,5.0,4.0,4.0,4.0,38.667,1,5,0,$0.00,0,0,6119
6620,False,4.0,3.0,4.0,5.0,58.667,2,11,0,$0.00,0,0,6120
6621,False,5.0,3.0,4.0,4.0,57.333,2,3,1,$8100.00,0,1,6121
6622,False,5.0,3.0,4.0,5.0,56.333,2,7,0,$0.00,0,0,6122
6623,False,2.0,2.0,3.0,3.0,82.333,17,1,2,$20574.00,0,2,6123
6624,False,3.0,3.0,2.0,1.0,50.667,0,17,0,$0.00,0,0,6124
6625,False,4.0,3.0,5.0,5.0,52.5,4,7,1,$2438.00,0,1,6125
6626,False,3.0,4.0,4.0,5.0,39.333,0,0,0,$0.00,0,0,6126
6627,False,3.0,2.0,4.0,4.0,70.0,3,9,2,$15438.00,0,2,6127
6628,False,4.0,4.0,3.0,3.0,40.667,0,4,0,$0.00,0,0,6128
6629,False,1.0,2.0,2.0,3.0,76.333,2,11,0,$0.00,0,0,6129
6630,False,4.0,2.0,4.0,4.0,70.667,5,10,0,$0.00,0,0,6130
6631,False,1.0,1.0,3.0,4.0,96.5,3,11,2,$12473.00,0,2,6131
6632,False,5.0,4.0,3.0,3.0,34.667,1,11,0,$0.00,0,0,6132
6633,False,4.0,3.0,3.0,2.0,53.333,1,4,1,$5460.00,0,1,6133
6634,False,4.0,3.0,4.0,4.0,47.333,0,0,0,$0.00,0,0,6134
6635,False,3.0,2.0,4.0,4.0,69.333,2,10,1,$7735.00,0,1,6135
6636,False,5.0,4.0,3.0,3.0,30.667,2,2,0,$0.00,0,0,6136
6637,False,5.0,4.0,4.0,4.0,22.667,2,2,1,$3413.00,0,1,6137
6638,False,4.0,3.0,4.0,5.0,60.667,1,0,0,$0.00,1,1,6138
6639,False,3.0,3.0,3.0,4.0,64.667,0,8,1,$7020.00,0,1,6139
6640,False,5.0,4.0,3.0,3.0,33.333,3,3,0,$0.00,0,0,6140
6641,False,4.0,3.0,4.0,4.0,50.667,2,9,0,$0.00,0,0,6141
6642,False,4.0,4.0,4.0,4.0,26.667,0,3,0,$0.00,0,0,6142
6643,False,4.0,3.0,2.0,2.0,44.0,8,10,0,$0.00,0,0,6143
6645,False,2.0,1.0,4.0,5.0,140.333,33,22,1,$10791.00,0,1,6144
6646,False,4.0,4.0,4.0,5.0,24.667,0,2,0,$0.00,0,0,6145
6647,False,2.0,1.0,5.0,5.0,173.833,11,11,2,$26900.00,0,2,6146
6648,False,5.0,4.0,4.0,5.0,37.333,1,4,0,$0.00,0,0,6147
6649,False,5.0,4.0,5.0,5.0,34.667,1,0,0,$0.00,0,0,6148
6650,False,1.0,1.0,3.0,2.0,133.333,11,11,1,$21808.00,0,1,6149
6651,False,4.0,3.0,4.0,4.0,43.833,12,6,1,$17945.00,1,2,6150
6652,False,5.0,3.0,4.0,4.0,47.333,0,8,1,$9946.00,0,1,6151
6653,False,3.0,3.0,3.0,4.0,45.333,1,11,0,$0.00,0,0,6152
6654,False,5.0,4.0,4.0,4.0,38.0,3,9,0,$0.00,0,0,6153
6655,False,5.0,4.0,4.0,4.0,38.0,6,0,0,$0.00,0,0,6154
6656,False,2.0,2.0,2.0,2.0,89.333,5,16,1,$5200.00,0,1,6155
6657,False,4.0,4.0,4.0,5.0,24.0,1,1,0,$0.00,0,0,6156
6658,False,5.0,3.0,4.0,4.0,48.667,0,0,0,$0.00,0,0,6157
6659,False,3.0,2.0,4.0,4.0,76.333,13,6,1,$16251.00,0,1,6158
6660,False,5.0,4.0,4.0,5.0,26.667,0,2,0,$0.00,0,0,6159
6661,False,4.0,3.0,4.0,4.0,48.0,6,9,0,$0.00,0,0,6160
6662,False,4.0,3.0,4.0,4.0,62.667,4,14,0,$0.00,0,0,6161
6663,False,4.0,3.0,4.0,5.0,59.333,4,3,1,$5915.00,0,1,6162
6664,False,2.0,2.0,2.0,3.0,68.0,5,27,2,$15015.00,0,2,6163
6665,False,1.0,1.0,3.0,2.0,122.0,3,8,2,$8873.00,0,2,6164
6666,False,5.0,5.0,3.0,4.0,15.333,0,0,0,$0.00,0,0,6165
6667,False,5.0,4.0,5.0,5.0,38.0,4,0,0,$0.00,0,0,6166
6668,False,3.0,2.0,2.0,1.0,68.667,0,1,2,$7996.00,0,2,6167
6669,False,5.0,4.0,3.0,3.0,22.667,0,2,0,$0.00,0,0,6168
6670,False,2.0,2.0,,,69.333,1,8,0,$0.00,0,0,6169
6671,False,3.0,3.0,3.0,4.0,55.333,1,2,0,$0.00,0,0,6170
6672,False,5.0,4.0,2.0,2.0,28.0,2,4,0,$0.00,0,0,6171
6673,False,3.0,2.0,3.0,3.0,82.0,6,6,3,$23043.00,0,3,6172
6674,False,1.0,1.0,1.0,1.0,98.833,1,10,0,$0.00,0,0,6173
6675,False,3.0,3.0,5.0,5.0,47.333,9,0,0,$0.00,0,0,6174
